,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
415,d4591bc0-b5fd-ea11-a815-000d3a8b659a,SED - Salem State-Marsh Hall,c3cf9d63-34e9-ea11-a817-000d3a8c8077,3849332,SED - Salem State-Gassett Fitness Center,Locus,3850743,KWHdel,"71B Loring Avenue,  Salem, MA 01970",America/New_York,2020-08-12,20,0.5,1.0,13817.39,445.72,167.1,5.39
444,6e09866e-3eed-ea11-a817-000d3a8b659a,Weberstown Mall,b639af99-223e-eb11-a813-000d3a8b659a,3862333,Park West Place,Locus,3864180,KWHdel,"4950 Pacific Ave,  Stockton, CA 95207",America/Los_Angeles,2020-09-02,29,0.5,1.0,193077.42,6435.91,186.3,6.21
472,42a7cabd-8156-eb11-a812-000d3a8bd97d,SED - Roof Lease-Cape Cod Community Media Ctr,9fcf9d63-34e9-ea11-a817-000d3a8c8077,3834348,Roof Lease-Bobcat Development,Locus,3864014,KWHdel,"17 Shad Hole Rd, Dennis Port, MA 2639",America/New_York,2020-11-24,7,0.5,1.0,18216.3,607.21,60.1,2.0
498,5f4adda9-8356-eb11-a812-000d3a8bd97d,SED - Roof Lease-The Judge Rotenberg Edl Ctr,b5cf9d63-34e9-ea11-a817-000d3a8c8077,3829689,SED Roof Lease - PBD Events,Locus,3864015,KWHdel,"250 Turnpike St, Canton, MA 2021",America/New_York,2020-11-18,13,0.5,1.0,9623.5,320.78,61.2,2.04
524,5a7069c6-8556-eb11-a812-000d3a8bd97d,10 Merchant Street,3ecf9d63-34e9-ea11-a817-000d3a8c8077,51989,100 New Boston,PowerTrack,53076,KWHrec,"10 Merchant St, Sharon, MA 02067",America/New_York,2021-02-25,4,0.5,1.0,19180.0,685.0,90.7,3.24
547,57d487c0-8856-eb11-a812-000d3a8bd97d,64 Industrial,3ecf9d63-34e9-ea11-a817-000d3a8c8077,51989,100 New Boston,PowerTrack,53177,KWHrec,"64 Industrial Pkwy, Woburn, MA 01801",America/New_York,2020-12-09,23,0.5,1.0,11000.0,354.84,59.5,1.92
572,bd64dddd-8a56-eb11-a812-000d3a8bd97d,960 Turnpike,3ecf9d63-34e9-ea11-a817-000d3a8c8077,51989,100 New Boston,PowerTrack,51222,KWHrec,"960 Turnpike St, Canton, MA 02021",America/New_York,2020-12-08,24,0.5,1.0,28270.0,911.94,60.0,1.94
597,24138124-0029-eb11-a813-000d3a8bd97d,SED - GFI - 60 Solferino Street Worcester,a3cf9d63-34e9-ea11-a817-000d3a8c8077,3833897,Roof Lease-Grafton-High School,Locus,3829632,KWHdel,"60 Solferino Street,  Worcester, MA 01604",America/New_York,2020-10-28,4,0.5,1.0,61920.4,1997.43,97.8,3.15
624,4b993368-0929-eb11-a813-000d3a8bd97d,SED - Roof Lease-ECI REALTY LLC,a1cf9d63-34e9-ea11-a817-000d3a8c8077,3857112,Roof Lease-Costa Realty LLC,Locus,3864037,KWHdel,"4 Ledgewood Blvd, Dartmouth, MA 2747",America/New_York,2020-10-16,16,0.5,1.0,11171.8,360.38,90.1,2.91
651,a4a7c7f2-1229-eb11-a813-000d3a8bd97d,SED - Roof Lease-Warren & Bigelow Electric,a3cf9d63-34e9-ea11-a817-000d3a8c8077,3833897,Roof Lease-Grafton-High School,Locus,3864013,KWHdel,"1 Pullman St, Worcester, MA 1606",America/New_York,2020-10-08,24,0.5,1.0,17110.5,551.95,99.6,3.21
678,e2e535ff-1529-eb11-a813-000d3a8bd97d,SED - Woburn Joyce Middle School,68facc32-7124-eb11-a813-000d3a8b659a,3850348,MA-WOBURN / WASHINGTON ST.25836,Locus,3864839,KWHdel,"55 Locust St, Woburn, MA 1801",America/New_York,2020-10-06,26,0.5,1.0,27173.98,876.58,99.5,3.21
705,ef11462d-0434-eb11-a813-000d3a8bd97d,SED - 59 Tom Harvey Rd LLC,a1cf9d63-34e9-ea11-a817-000d3a8c8077,3857112,Roof Lease-Costa Realty LLC,Locus,3864187,KWHdel,"59 TOM HARVEY RD.,  WESTERLY, RI 02891",America/New_York,2020-10-16,16,0.5,1.0,13331.59,430.05,98.2,3.17
732,5d6e0b78-54f4-ea11-a815-000d3a8c8077,MA-BOSTON / SOUTHAMPTON STREET.29187,5f6e0b78-54f4-ea11-a815-000d3a8c8077,3850337,MA-BRIGHTON / LINCOLN ST.25833,Locus,3850353,KWHdel,"290 Southampton Street,  Boston , MA 2118",America/New_York,2020-09-19,12,0.5,1.0,8310.55,277.02,127.5,4.25
760,5f6e0b78-54f4-ea11-a815-000d3a8c8077,MA-BRIGHTON / LINCOLN ST.25833,5d6e0b78-54f4-ea11-a815-000d3a8c8077,3850353,MA-BOSTON / SOUTHAMPTON STREET.29187,Locus,3850337,KWHdel,"156 Lincoln St,  Brighton , MA 2135",America/New_York,2020-09-19,12,0.5,1.0,10926.51,364.22,127.5,4.25
